Id,CleanedReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
1,monke,Recommended,5,20.7,14-11-2024
2,8/10,Recommended,4,51.6,14-11-2024
3,game awesome hard track move start muscle memory start work game play get better,Recommended,95,7.3,13-11-2024
4,pain,Recommended,4,5.1,13-11-2024
5,monke,Recommended,5,30.9,13-11-2024
6,good,Recommended,4,116.9,13-11-2024
7,game frekaing peak reason peak make idc im glazign soul outta agmne freakinhg awesome,Recommended,97,6.3,13-11-2024
8,literally find say loud dont think fun gameimmediately doesnt feel reward either fight game progression minibosses hardly mob leave game play bos fight die figure movesto make worse fight doesnt feel good game suppose reward technical game play lock dodge often attack animation jump dont avoid aoe bos attack lead bore run away wait game play,Not Recommended,486,5.7,13-11-2024
9,fir time play soulslike game really enjoy perhaps people wouldnt like nonopen world think let enjoy real story character also thanks really need focus go berserk 100 would recommend,Recommended,236,5.5,13-11-2024
10,first four chapter really impressive final bos fight one best ive ever play however fifth sixth chapter full flaw trace unfinished work additionally seller intention use gender discrimination create trend unforgivable overall valuable gaming experience,Recommended,286,39.5,13-11-2024
11,great game,Recommended,9,62.3,14-11-2024
12,one best game play,Recommended,29,51.8,14-11-2024
13,excellent,Recommended,9,53.9,14-11-2024
14,im super far yet game might goty,Recommended,40,7.6,14-11-2024
15,goty,Recommended,4,66.2,14-11-2024
16,monke go uu uu aa aa go get game boink yaoguai,Recommended,49,27.6,14-11-2024
17,ill start say dont think lack map game favour especially consider many missable achievement think game offer obscene amount automatic backup always great aside easily 9/10 true goty year content neither hard neither easy take damage cinematics kind unfair nothing play around absolute must try like soul game,Recommended,414,50.5,14-11-2024
18,opinion true game year contender perfect want take challenge feel hesitant game like dark soul elden ring demand brutally difficult title game incredible atmosphere control smooth intuitive another strong point ability create various build suit different playstyles there truly something everyoneits must play fan chinese culture simply impossible disappoint even finish game first time there still strong desire dive back ng acquire additional item skill feature keep motivate replay offer new challenge fresh approach tackle boss,Recommended,670,42.3,14-11-2024
19,phenomenal game experience start finish worth hype well worth full price easily land top ten list time ultra smooth combat diverse move/ability set combination endless really penalty try every build available engage story chapter theme fit narratively scenery character person replay game frequently excite play one,Recommended,402,178.7,14-11-2024
20,im relatively casual gamer demand job two young kid ive able spend abouut 30 hour last couple month let tell game sht diverse vary never get bore,Recommended,202,35.7,14-11-2024
21,best game ive play long time,Recommended,30,119.4,14-11-2024
22,best game ever make time,Recommended,36,70.4,14-11-2024
23,game science choose collaborate jd inc dei/lgbtq company negative review game,Not Recommended,91,104.1,14-11-2024
24,play get better ping pong,Recommended,39,39.4,14-11-2024
25,fun game,Recommended,7,22.8,14-11-2024
26,subject worldbeautiful game one hand many secret much lore hand invisible wall everywhere kind slap face try explore inviting close time fan thaton subject combati like instant respec make fight entertain large bosses/quick move bosses/flying boss hit box track fantastic time lock feasible either would look improvement therehuge discrepancy among bos difficulty 90 pushover 10 impossible without learn fight maybe slightly many microcutscenes major bos fight tooside noteshad learn closing eye load screen game spoil new area show second phase boss currently fight havent see huge nowhats bos talk fight come never hear focus hear play music let enjoy fightoverall positive great game couple thorn exactly 10/10 close,Recommended,982,64.1,14-11-2024
27,pretty gooooood ng5,Recommended,18,209.7,14-11-2024
28,worth every penny amazing game,Recommended,28,92.8,14-11-2024
