,ReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
0,Monke,Recommended,5,20.7 hrs on record,Posted: 14 November
1,8/10,Recommended,4,51.6 hrs on record,Posted: 14 November
2,"this game is awesome, hard to track all moves at the start but muscle memory starts to work the game play gets better",Recommended,95,7.3 hrs on record,Posted: 13 November
3,Pain,Recommended,4,5.1 hrs on record,Posted: 13 November
4,Monke,Recommended,5,30.9 hrs on record,Posted: 13 November
5,good,Recommended,4,116.9 hrs on record,Posted: 13 November
6,THIS GAME IS FREKAING PEAK THIS IS THE REASON PEAK WAS MADE IDC IM GLAZIGN THE SOUL OUTTA THIS AGMNE FREAKINHG AWESOME,Recommended,97,6.3 hrs on record,Posted: 13 November
7,"I literally found myself saying out loud ""I don't think this is a fun game"".Immediately it doesn't feel rewarding in either fighting or game progression. It's just mini-bosses with hardly any mobs between them, leaving most of the game play being boss fights that you die over and over to until you figure out their moves.To make it worse, the fighting itself just doesn't feel good. For a game that is supposed to reward technical game play, you are locked out of dodging often with attack animations and jumps don't avoid AOE boss attacks, leading to boring run away and wait game play.",Not Recommended,486,5.7 hrs on record,Posted: 13 November
8,"It is my firs time playing a souls-like game, and I have really enjoyed it, perhaps some people wouldn't like the non-open world but I think it let's you enjoyed the real story of the character and also thanks to this you only really need to focus in going berserk, 100% would recommend it",Recommended,236,5.5 hrs on record,Posted: 13 November
9,"The first four chapters are really impressive, and the final boss fight is one of the best I've ever played. However, the fifth and the sixth chapters are full of flaws and traces of unfinished works. Additionally, the seller's intention of using gender discrimination to create trend is unforgivable. Overall, valuable gaming experience.",Recommended,286,39.5 hrs on record,Posted: 13 November
10,great game,Recommended,9,62.3 hrs on record,Posted: November 14
11,One of the best games I have played.,Recommended,29,51.8 hrs on record,Posted: November 14
12,excellent,Recommended,9,53.9 hrs on record,Posted: November 14
13,im not super far in yet but this game might be GOTY,Recommended,40,7.6 hrs on record,Posted: November 14
14,goty,Recommended,4,66.2 hrs on record,Posted: November 14
15,Monke goes uu uu aa aa! Go get this game and boink the yaoguai,Recommended,49,27.6 hrs on record,Posted: November 14
16,"I'll start off by saying that I don't think that the lack of a map does this game any favours, especially considering how many missable achievements there are (thought the game does offer an obscene amount of automatic backups, which is always great). That aside, this is easily a 9/10 and the true GOTY of this year. The content is neither too hard neither too easy. Taking damage during cinematics is kind of unfair, but It's nothing you cannot play around. Absolute must try if you like souls games.",Recommended,414,50.5 hrs on record,Posted: November 14
